amount,hour,num_tx_past_day,is_fraud
614.22,18,21,0
1999.52,17,17,0
1248.8,3,14,0
1839.87,10,24,1
2104.58,11,20,0
1011.13,13,14,0
2485.93,10,17,0
1696.78,23,11,1
2281.93,13,18,0
1529.62,18,18,1
2321.77,3,27,0
1476.22,6,28,0
2119.06,11,13,0
1254.73,23,14,0
500.67,23,25,0
1950.41,7,13,0
728.93,17,23,1
2390.2,18,13,0
1632.38,2,10,0
1221.54,8,26,0
2042.5,19,10,1
2404.24,17,20,0
1314.09,9,25,0
1900.41,11,27,1
1351.74,11,16,1
745.21,11,25,0
838.92,6,15,0
2202.92,8,18,1
1415.19,15,17,1
1198.59,12,25,0
1145.77,11,12,1
1194.6,23,25,0
1087.4,18,19,1
2081.81,4,27,1
1907.77,4,20,1
1691.91,20,21,0
2085.4,10,24,0
723.05,0,26,0
2176.1,23,21,0
986.42,4,21,1
727.04,18,23,1
1545.14,21,17,0
1226.15,17,27,0
1925.35,22,26,1
2009.31,0,21,0
2188.87,8,15,1
860.8,12,26,0
1816.38,5,11,0
1183.23,12,16,0
1839.39,17,19,0
1959.19,3,10,1
2144.33,19,21,0
1368.98,16,29,0
1502.07,2,13,0
1637.1,12,21,0
1579.82,13,27,0
2122.21,11,11,0
1175.44,4,17,1
2196.86,6,24,0
809.27,14,16,0
1940.57,13,17,0
1956.38,18,28,0
1688.87,18,21,0
1018.67,7,13,0
1717.36,16,13,1
924.84,20,14,0
600.3,3,17,1
2029.97,2,16,0
1320.12,17,13,0
979.22,4,27,0
1935.47,18,15,0
1231.79,0,24,0
1643.81,3,16,0
1122.13,23,27,0
778.79,22,18,0
931.2,12,18,1
1065.32,16,22,1
1513.16,19,24,0
1801.13,9,22,1
2431.91,19,18,0
1683.95,3,23,0
2432.49,15,15,0
834.14,6,19,0
667.69,19,13,0
700.31,9,23,1
1303.97,9,28,0
1249.72,6,27,1
2084.35,7,23,0
561.09,8,28,0
1685.95,19,17,0
2447.91,15,25,0
1190.96,8,11,1
1552.77,16,17,1
1743.49,6,25,0
1729.27,21,11,1
1586.42,17,14,0
1328.13,0,13,0
1286.06,7,22,0
753.3,4,14,1
2091.69,19,21,0
2335.29,21,25,1
828.99,23,28,0
809.72,18,23,0
2487.96,4,27,1
510.83,9,10,0
2181.92,5,29,1
2416.94,21,18,0
1986.27,8,21,0
1011.28,17,22,1
2050.76,0,23,1
1728.26,0,26,0
1947.22,2,12,0
1476.07,6,29,0
1103.64,7,23,1
2364.07,7,20,0
1623.49,15,27,0
1184.81,1,15,0
869.65,18,10,1
1852.26,5,22,0
725.35,15,23,1
1672.84,0,23,0
1550.02,15,22,1
2444.39,4,27,1
2145.05,18,27,0
1160.35,12,20,1
1439.62,7,27,0
2466.5,21,17,0
2160.77,14,20,1
682.59,18,27,0
1929.48,20,17,1
2056.92,23,25,0
2494.13,2,21,0
2130.78,2,13,0
2372.67,15,24,0
2422.76,6,11,0
789.5,11,20,0
2352.9,10,22,0
563.61,11,26,0
1856.91,9,10,0
2200.19,11,17,0
1296.38,9,21,0
2213.46,10,25,0
1839.38,5,18,0
1804.19,17,19,0
1682.64,19,22,0
794.5,7,17,0
2451.19,1,22,0
1873.95,5,20,0
2215.4,10,28,0
1174.6,12,26,0
788.17,9,22,0
1870.79,19,25,0
